uuid;relative_time_us;agent;source;type;igs_timestamp;value
;150707247;SmartEyeProBridge;pupil_diameter_quality;2;;0.852383
;150707346;SmartEyeProBridge;an_saccade;1;;0
;150707377;SmartEyeProBridge;an_fixation;1;;6985
;150707407;SmartEyeProBridge;an_blink;1;;0
;150707923;SmartEyeProBridge;pupil_diameter;2;;0.004794
;150707953;SmartEyeProBridge;pupil_diameter_quality;2;;0.852508
;150741389;SmartEyeProBridge;pupil_diameter;2;;0.004863
;150741412;SmartEyeProBridge;pupil_diameter_quality;2;;0.781212
;150742377;SmartEyeProBridge;pupil_diameter;2;;0.004661
;150742395;SmartEyeProBridge;pupil_diameter_quality;2;;0.801022
;150778047;SmartEyeProBridge;pupil_diameter;2;;0.004594
;150778081;SmartEyeProBridge;pupil_diameter_quality;2;;0.816244
;150791961;SmartEyeProBridge;an_saccade;1;;0
;150792063;SmartEyeProBridge;an_fixation;1;;6985
;150792096;SmartEyeProBridge;an_blink;1;;0
;150792453;SmartEyeProBridge;pupil_diameter;2;;0.004871
;150792483;SmartEyeProBridge;pupil_diameter_quality;2;;0.843859
;150792775;SmartEyeProBridge;pupil_diameter;2;;0.004800
;150792810;SmartEyeProBridge;pupil_diameter_quality;2;;0.798318
;150820455;SmartEyeProBridge;pupil_diameter;2;;0.004781
;150820487;SmartEyeProBridge;pupil_diameter_quality;2;;0.751595
;150823140;SmartEyeProBridge;pupil_diameter;2;;0.004842
;150823175;SmartEyeProBridge;pupil_diameter_quality;2;;0.839202
;150854089;SmartEyeProBridge;pupil_diameter;2;;0.004856
;150854113;SmartEyeProBridge;pupil_diameter_quality;2;;0.958228
;150856527;SmartEyeProBridge;pupil_diameter;2;;0.004824
;150856557;SmartEyeProBridge;pupil_diameter_quality;2;;0.795243
;150873056;SmartEyeProBridge;an_saccade;1;;0
;150873158;SmartEyeProBridge;an_fixation;1;;6985
;150873194;SmartEyeProBridge;an_blink;1;;0
;150873451;SmartEyeProBridge;pupil_diameter;2;;0.004885
;150873481;SmartEyeProBridge;pupil_diameter_quality;2;;0.838190
;150890003;SmartEyeProBridge;pupil_diameter;2;;0.004949
;150890034;SmartEyeProBridge;pupil_diameter_quality;2;;0.962911
;150906910;SmartEyeProBridge;pupil_diameter;2;;0.000000
;150906942;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;150956754;PanelListener;BEACON;4;;true
;150957333;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;150957445;SmartEyeProBridge;pupil_diameter;2;;0.004846
;150957481;SmartEyeProBridge;pupil_diameter_quality;2;;0.934865
;150957592;SmartEyeProBridge;an_saccade;1;;0
;150957629;SmartEyeProBridge;an_fixation;1;;6985
;150957667;SmartEyeProBridge;an_blink;1;;0
;150958355;SmartEyeProBridge;pupil_diameter;2;;0.005148
;150958391;SmartEyeProBridge;pupil_diameter_quality;2;;0.877472
;150973155;SmartEyeProBridge;pupil_diameter;2;;0.004867
;150973190;SmartEyeProBridge;pupil_diameter_quality;2;;0.768936
;151001708;SmartEyeProBridge;pupil_diameter;2;;0.004896
;151001739;SmartEyeProBridge;pupil_diameter_quality;2;;0.857141
;151007218;SmartEyeProBridge;pupil_diameter;2;;0.004940
;151007250;SmartEyeProBridge;pupil_diameter_quality;2;;0.839803
;151028526;Aircraft;pax_safety;1;;1
;151038300;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151038393;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151038424;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151038517;SmartEyeProBridge;an_saccade;1;;0
;151038548;SmartEyeProBridge;an_fixation;1;;6985
;151038578;SmartEyeProBridge;an_blink;1;;0
;151039793;SmartEyeProBridge;pupil_diameter;2;;0.004811
;151039831;SmartEyeProBridge;pupil_diameter_quality;2;;0.780031
;151054924;TARS Agent;tts_request;3;;check
;151055567;TARS Agent;action_time;3;;transition_action:0.74
;151057076;SmartEyeProBridge;pupil_diameter;2;;0.005089
;151057111;SmartEyeProBridge;pupil_diameter_quality;2;;0.866587
;151059407;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""LANDING Light Switch"", ""value"": ""AS DESIRED"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Current runway conditions, weather, and aircraft status."", ""interaction"": ""landing_light_as_required"", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": """", ""transition_kind"": ""sensing_ack""}"
;151059466;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
;151059499;TARS Agent;interaction_message;3;;
;151059530;TARS Agent;current_task_object;3;;LANDING Light Switch
;151059560;TARS Agent;current_task_value;3;;AS DESIRED
;151059590;TARS Agent;current_task_autonomy_role;3;;performer
;151059621;TARS Agent;current_task_human_role;3;;supporter
;151059651;TARS Agent;next_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""ANTI-COLL Light Switch"", ""value"": ""ON"", ""human_role"": """", ""autonomy_role"": ""performer"", ""information_requirement"": ""ANTI-COLL light switch position, checklist status."", ""interaction"": ""anti_coll_light_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": """", ""transition_kind"": null}"
;151059681;TARS Agent;countdown_next;1;;0
;151059711;TARS Agent;countdown_max_next;1;;0
;151061377;TARS Agent;action_about_to_fire;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""LANDING Light Switch"", ""value"": ""AS DESIRED"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Current runway conditions, weather, and aircraft status."", ""interaction"": ""landing_light_as_required"", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": """", ""transition_kind"": ""sensing_ack""}"
;151061449;Shared Interface;countdown_complete;5;;
;151061481;TARS Agent;interaction_message;3;;"{""message"": null, ""tars_input"": ""On an active runway, to enhance visibility: I suggest LANDING LIGHTS --> ON\nLanding light is OFF""}"
;151061523;TARS Agent;action_time;3;;action:0.31
;151087510;SmartEyeProBridge;pupil_diameter;2;;0.004604
;151087541;SmartEyeProBridge;pupil_diameter_quality;2;;0.901625
;151090981;SmartEyeProBridge;pupil_diameter;2;;0.005503
;151091015;SmartEyeProBridge;pupil_diameter_quality;2;;0.724522
;151119973;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151120071;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151120103;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151120210;SmartEyeProBridge;an_saccade;1;;0
;151120259;SmartEyeProBridge;an_fixation;1;;6985
;151120292;SmartEyeProBridge;an_blink;1;;0
;151152457;SmartEyeProBridge;pupil_diameter;2;;0.005136
;151152499;SmartEyeProBridge;pupil_diameter_quality;2;;0.890952
;151156288;SmartEyeProBridge;pupil_diameter;2;;0.005193
;151156324;SmartEyeProBridge;pupil_diameter_quality;2;;0.849511
;151204240;SmartEyeProBridge;an_saccade;1;;0
;151204371;SmartEyeProBridge;an_fixation;1;;6985
;151204412;SmartEyeProBridge;an_blink;1;;0
;151204819;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151204916;SmartEyeProBridge;pupil_diameter;2;;0.005287
;151204948;SmartEyeProBridge;pupil_diameter_quality;2;;0.701598
;151215228;SmartEyeProBridge;pupil_diameter;2;;0.005469
;151215247;SmartEyeProBridge;pupil_diameter_quality;2;;0.719939
;151215579;SmartEyeProBridge;pupil_diameter;2;;0.004775
;151215596;SmartEyeProBridge;pupil_diameter_quality;2;;0.757199
;151241738;SmartEyeProBridge;pupil_diameter;2;;0.004638
;151241766;SmartEyeProBridge;pupil_diameter_quality;2;;0.811590
;151243170;SmartEyeProBridge;pupil_diameter;2;;0.005271
;151243200;SmartEyeProBridge;pupil_diameter_quality;2;;0.943379
;151269951;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151269999;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151290212;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151290273;SmartEyeProBridge;pupil_diameter;2;;0.005116
;151290292;SmartEyeProBridge;pupil_diameter_quality;2;;0.892345
;151290349;SmartEyeProBridge;an_saccade;1;;0
;151290368;SmartEyeProBridge;an_fixation;1;;6985
;151290388;SmartEyeProBridge;an_blink;1;;0
;151306005;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151306036;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151356271;SmartEyeProBridge;pupil_diameter;2;;0.004468
;151356290;SmartEyeProBridge;pupil_diameter_quality;2;;0.877198
;151403934;SmartEyeProBridge;pupil_diameter;2;;0.004816
;151403956;SmartEyeProBridge;pupil_diameter_quality;2;;0.702456
;151404017;SmartEyeProBridge;an_saccade;1;;0
;151404037;SmartEyeProBridge;an_fixation;1;;6985
;151404055;SmartEyeProBridge;an_blink;1;;0
;151404335;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151404389;SmartEyeProBridge;pupil_diameter;2;;0.005270
;151404414;SmartEyeProBridge;pupil_diameter_quality;2;;0.747245
;151419979;SmartEyeProBridge;pupil_diameter;2;;0.004407
;151420009;SmartEyeProBridge;pupil_diameter_quality;2;;0.803385
;151433051;SmartEyeProBridge;pupil_diameter;2;;0.004351
;151433071;SmartEyeProBridge;pupil_diameter_quality;2;;0.878833
;151443726;SmartEyeProBridge;pupil_diameter;2;;0.004553
;151443744;SmartEyeProBridge;pupil_diameter_quality;2;;0.914035
;151460079;SmartEyeProBridge;pupil_diameter;2;;0.004639
;151460098;SmartEyeProBridge;pupil_diameter_quality;2;;0.840123
;151472743;SmartEyeProBridge;pupil_diameter;2;;0.004606
;151472764;SmartEyeProBridge;pupil_diameter_quality;2;;0.904279
;151510170;SmartEyeProBridge;an_saccade;1;;0
;151510292;SmartEyeProBridge;an_fixation;1;;6985
;151510338;SmartEyeProBridge;an_blink;1;;0
;151510886;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151511000;SmartEyeProBridge;pupil_diameter;2;;0.004386
;151511036;SmartEyeProBridge;pupil_diameter_quality;2;;0.804945
;151520932;SmartEyeProBridge;pupil_diameter;2;;0.004654
;151520962;SmartEyeProBridge;pupil_diameter_quality;2;;0.902325
;151522386;SmartEyeProBridge;pupil_diameter;2;;0.004226
;151522417;SmartEyeProBridge;pupil_diameter_quality;2;;0.942234
;151550212;SmartEyeProBridge;pupil_diameter;2;;0.004090
;151550243;SmartEyeProBridge;pupil_diameter_quality;2;;0.806895
;151557586;SmartEyeProBridge;pupil_diameter;2;;0.004508
;151557617;SmartEyeProBridge;pupil_diameter_quality;2;;0.730120
;151577773;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151577810;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151610026;SmartEyeProBridge;an_saccade;1;;0
;151610045;SmartEyeProBridge;an_fixation;1;;6985
;151610064;SmartEyeProBridge;an_blink;1;;0
;151670447;SmartEyeProBridge;an_saccade;1;;6985
;151670539;SmartEyeProBridge;an_fixation;1;;0
;151688434;SmartEyeProBridge;pupil_diameter;2;;0.004593
;151688464;SmartEyeProBridge;pupil_diameter_quality;2;;0.678979
;151706678;SmartEyeProBridge;filtered_closest_world_object_name;3;;PFD
;151706768;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151706797;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151707022;SmartEyeProBridge;an_blink;1;;0
;151721945;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151722050;SmartEyeProBridge;pupil_diameter;2;;0.004186
;151722080;SmartEyeProBridge;pupil_diameter_quality;2;;0.802497
;151750128;SmartEyeProBridge;pupil_diameter;2;;0.004251
;151750158;SmartEyeProBridge;pupil_diameter_quality;2;;0.477438
;151755058;SmartEyeProBridge;pupil_diameter;2;;0.004047
;151755087;SmartEyeProBridge;pupil_diameter_quality;2;;0.764065
;151755174;SmartEyeProBridge;an_saccade;1;;6985
;151755202;SmartEyeProBridge;an_fixation;1;;0
;151772202;SmartEyeProBridge;pupil_diameter;2;;0.003541
;151772228;SmartEyeProBridge;pupil_diameter_quality;2;;0.791445
;151798130;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151798148;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151798240;SmartEyeProBridge;an_blink;1;;0
;151804891;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151804948;SmartEyeProBridge;pupil_diameter;2;;0.004316
;151804966;SmartEyeProBridge;pupil_diameter_quality;2;;0.840366
;151822188;SmartEyeProBridge;pupil_diameter;2;;0.004532
;151822229;SmartEyeProBridge;pupil_diameter_quality;2;;0.783926
;151847021;SmartEyeProBridge;pupil_diameter;2;;0.004046
;151847080;SmartEyeProBridge;pupil_diameter_quality;2;;0.837088
;151847175;SmartEyeProBridge;an_saccade;1;;6985
;151847224;SmartEyeProBridge;an_fixation;1;;0
;151854788;SmartEyeProBridge;pupil_diameter;2;;0.004597
;151854822;SmartEyeProBridge;pupil_diameter_quality;2;;0.960649
;151899239;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;151899339;SmartEyeProBridge;pupil_diameter;2;;0.004649
;151899373;SmartEyeProBridge;pupil_diameter_quality;2;;0.831238
;151899538;SmartEyeProBridge;an_blink;1;;0
;151903082;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151903119;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151927851;SmartEyeProBridge;pupil_diameter;2;;0.004021
;151927880;SmartEyeProBridge;pupil_diameter_quality;2;;0.843661
;151927973;SmartEyeProBridge;an_saccade;1;;0
